Text,Categories,Action Needed
শ্বাসকষ্ট কমানোর উপায় কী?,General Query,"No immediate action required, informational response sufficient"
কোন ব্যায়াম করলে বুক ভালো থাকে?,General Query,"No immediate action required, informational response sufficient"
বুক ধড়ফড় করলে কখন চিন্তা করা উচিত?,General Query,"No immediate action required, informational response sufficient"
কাশি কতদিন থাকলে ডাক্তার দেখানো উচিত?,General Query,"No immediate action required, informational response sufficient"
বুকের জ্বালাপোড়া কেন হয়?,General Query,"No immediate action required, informational response sufficient"
অ্যাসিডিটির কারণে বুক ভারী লাগে কেন?,General Query,"No immediate action required, informational response sufficient"
শ্বাসকষ্ট কি মানসিক চাপ থেকেও হতে পারে?,General Query,"No immediate action required, informational response sufficient"
বুকের ব্যথা কখন বিপজ্জনক হয়?,General Query,"No immediate action required, informational response sufficient"
আজ সারাদিন বুক একটু ভারী লাগছে কিন্তু কাজ করছি,Routine,Schedule a regular medical consultation
হালকা কাশি আছে কিন্তু জ্বর নেই,Routine,Schedule a regular medical consultation
গ্যাস হলে বুক টাইট লাগে,Routine,Schedule a regular medical consultation
ঘুম কম হলে বুক ধড়ফড় করে,Routine,Schedule a regular medical consultation
স্ট্রেস থাকলে বুক অস্বস্তি লাগে,Routine,Schedule a regular medical consultation
ঠান্ডা লাগলে বুক খুসখুস করে,Routine,Schedule a regular medical consultation
হালকা শ্বাসকষ্ট হয় দৌড়ালে,Routine,Schedule a regular medical consultation
চোখের যত্নে ভিটামিন এ সমৃদ্ধ খাবার এবং নিয়মিত পরিচর্যা সংক্রান্ত সাধারণ নির্দেশাবলী জানা প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
"কয়েকদিন ধইরা চোখের কোণাডা হালকা লাল হইয়া আছে, মাঝে মাঝে একটু চুলকায় আর পানি আসে।",Routine,Schedule a regular medical consultation
কোনো আঘাত লাগে নাই কিন্তু হঠাৎ কইরা ডান চোখের নিচের অর্ধেক অংশ অন্ধকার দেখতাছি।,Emergency,Immediately go to emergency department or call ambulance
চোখের পাতাটা একটু ফুইলা ভারী হইয়া আছে কিন্তু কোনো পুঁজ বা তীব্র ব্যথা নাই।,Routine,Schedule a regular medical consultation
ডায়াবেটিস অনেক বেশি থাকার কারণে ইদানীং মাঝেমধ্যে চোখের সামনে সব ঝাপসা লাগে।,Emergency,Immediately go to emergency department or call ambulance
"কাল রাত থেইকা চোখের ভেতর খচখচানি বাড়ছে আর লাল হইয়া রস বের হইতাছে, তাকাতেই পারতাছি না।",Urgent,Seek medical care within 24–48 hours
চোখ ওঠা রোগের লক্ষণ এবং ঘরোয়াভাবে সুরক্ষিত থাকার উপায়সমূহ জানতে আগ্রহী।,General Query,"No immediate action required, informational response sufficient"
"হঠাৎ কইরা চোখের সামনে সব ধোঁয়া ধোঁয়া লাগতাছে, একটু আগের পরিষ্কার জিনিসও দেখতে পারতাছি না।",Emergency,Immediately go to emergency department or call ambulance
ভ্রুর গোড়ায় একটু চামড়া উইঠা খুশকির মতো হইছে আর মাঝে মাঝে হালকা চুলকায়।,Routine,Schedule a regular medical consultation
চোখে ড্রপ দেওয়ার পর চোখ একটু লাল হইছে কিন্তু কোনো ব্যথা বা ভিশন প্রবলেম নাই।,Routine,Schedule a regular medical consultation
ডান চোখের কোণা দিয়া অনবরত ঘন হলদেটে পুঁজ বের হইতাছে আর চোখটা ব্যথার চোটে খুলাই যাইতেছে না।,Urgent,Seek medical care within 24–48 hours
চোখের ছানি অপারেশনের পরবর্তী যত্ন এবং লেন্সের স্থায়িত্ব সংক্রান্ত তথ্য বিবরণী প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
"কাজের চাপের কারণে চোখ দুইটা খুব ক্লান্ত আর শুকনো লাগে, একটু পানি দিলে আরাম পাই।",Routine,Schedule a regular medical consultation
চোখের মণি দুইটা দুই দিকে চইলা গেছে হঠাৎ আর আপা সোজা হইয়া দাঁড়াইতে পারতাছে না।,Emergency,Immediately go to emergency department or call ambulance
চোখের পাতা উল্টায়া গেছে মনে হইতাছে আর চোখের মণিতে অনবরত ঘষা লাইগা পানি পড়তেছে।,Urgent,Seek medical care within 24–48 hours
কম্পিউটার স্ক্রিনের ক্ষতিকর আলো থেইকা চোখ বাঁচানোর উপায় এবং ব্লু কাট লেন্সের তথ্য জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
"ভ্রুর ওপর একটা ছোট ফোড়া হইয়া লাল হইয়া আছে, টিপ দিলে প্রচণ্ড টনটন করে আর কপাল কামড়ায়।",Urgent,Seek medical care within 24–48 hours
চোখের কোণা চুলকাইতে চুলকাইতে ফুইলা লাল হইয়া গেছে আর নখ লাগার কারণে চামড়া ছিলে রস পড়তেছে।,Urgent,Seek medical care within 24–48 hours
"বাচ্চা ইদানীং চোখ কুচকায়ে তাকায় দূর থেকে, এই বিষয়ে সাধারণ পরামর্শ দরকার।",General Query,"No immediate action required, informational response sufficient"
"চোখের ভেতর ছোট পোকা ঢোকার পর চোখ ডইলা লাল বানায় ফেলছি, এখন চোখ খুলতে গেলে পানি পড়ে।",Urgent,Seek medical care within 24–48 hours
"চোখের সাদা অংশে ছোট্ট একটা কালচে দাগ আছে ছোটবেলা থেইকাই, ব্যথা বা চুলকানি নাই।",Routine,Schedule a regular medical consultation
ডিজিটাল স্ক্রিন ব্যবহারের কারণে চোখের ক্লান্তি দূর করার সাধারণ স্বাস্থ্য টিপস জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
চোখের পাতায় মেকআপ ব্যবহারের নিয়ম এবং অ্যালার্জি প্রতিরোধের উপায় সম্পর্কে বিস্তারিত তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
"চোখের ওপরের পাতায় চর্বির মতো ছোট ছোট হলুদ দানা দেখা যাইতেছে, ব্যথা নাই।",Routine,Schedule a regular medical consultation
"চোখে এসিড ছিটকা পড়ছে, পুরা চোখ জ্বইলা কয়লা হয়া যাইতেছে, মানুষটা যন্ত্রণায় জ্ঞান হারাইছে।",Emergency,Immediately go to emergency department or call ambulance
"চোখের কোণায় মাংস বাড়ছে মনে হয়, যেটা ধীরে ধীরে মণির দিকে আগায় আসতেছে।",Urgent,Seek medical care within 24–48 hours
চোখের ভ্রু ইদানীং খুব বেশিই ঝইরা যাইতেছে আর জায়গাটা পাতলা হইয়া গেছে।,Routine,Schedule a regular medical consultation
"চোখের ভেতর লোহা বা কাঁচের গুঁড়া ঢুকছে মনে হয়, খুব রক্ত পড়তেছে আর চোখ খুলাই যাচ্ছে না।",Emergency,Immediately go to emergency department or call ambulance
বাচ্চা সবসময় চোখ কচলায় আর চোখের কোণা দুইটা কাঁচা লাল হইয়া থাকে।,Urgent,Seek medical care within 24–48 hours
চোখের ড্রপ দেওয়ার পর হঠাৎ সারা শরীর চুলকানো শুরু হইছে আর মুখ ফুইলা যাইতেছে।,Emergency,Immediately go to emergency department or call ambulance
রোদে গেলে চোখ দিয়া অনবরত পানি পড়ে আর তাকাতে খুব কষ্ট হয়।,Urgent,Seek medical care within 24–48 hours
বার্ধক্যজনিত চোখের দৃষ্টি কমার কারণ এবং এর প্রতিকার নিয়ে সাধারণ স্বাস্থ্য আলোচনা দরকার।,General Query,"No immediate action required, informational response sufficient"
"হঠাৎ কইরা ডান চোখ দিয়া সব ডাবল দেখতাছি, মাথাটা খুব ঘুরতাছে আর বমি ভাব লাগতাছে।",Emergency,Immediately go to emergency department or call ambulance
চোখের মণি একদম রক্তবর্ণ হইয়া আছে আর মনে হইতাছে চোখটা ফেটে যাবে ব্যথায়।,Urgent,Seek medical care within 24–48 hours
শীতকালে চোখের চারপাশের চামড়া খুব বেশি শুষ্ক হইয়া টান লাগে।,Routine,Schedule a regular medical consultation
কানে মাঝে মাঝে হালকা শব্দ হয় কিন্তু ব্যথা নেই,Routine,Schedule a regular medical consultation
কানের ভেতর সামান্য চুলকানি লাগে বিশেষ করে রাতে,Routine,Schedule a regular medical consultation
কানের লতিতে ছোট একটা গুটি আছে অনেকদিন ধরে,Routine,Schedule a regular medical consultation
ঠান্ডা লাগলে কানে চাপ অনুভব হয়,Routine,Schedule a regular medical consultation
কানে হেডফোন বেশি ব্যবহার করলে অস্বস্তি লাগে,Routine,Schedule a regular medical consultation
কানের ভেতর মাঝে মাঝে পানি ঢোকার মতো অনুভূতি হয়,Routine,Schedule a regular medical consultation
কানের লতি হালকা লাল হয়ে গেছে কিন্তু ব্যথা নেই,Routine,Schedule a regular medical consultation
কথা শোনার সময় মাঝে মাঝে একটু কম শোনা যায়,Routine,Schedule a regular medical consultation
কানে বাতাস লাগলে হালকা অস্বস্তি লাগে,Routine,Schedule a regular medical consultation
গত দুই দিন ধরে কানে ব্যথা হচ্ছে আর চাপ লাগছে,Urgent,Seek medical care within 24–48 hours
কানের ভেতর থেকে দুর্গন্ধযুক্ত পানি বের হচ্ছে,Urgent,Seek medical care within 24–48 hours
কানে কিছু ঢুকে গেছে মনে হচ্ছে আর ব্যথা করছে,Urgent,Seek medical care within 24–48 hours
কানের লতি ফুলে গেছে আর ছুঁলেই ব্যথা লাগে,Urgent,Seek medical care within 24–48 hours
কানে তীব্র চুলকানি আর সাথে হালকা রক্ত আসছে,Urgent,Seek medical care within 24–48 hours
হঠাৎ কানে কম শুনতে পাচ্ছি আর ভেতরটা বন্ধ মনে হচ্ছে,Urgent,Seek medical care within 24–48 hours
কানের ভেতর পুঁজ জমে আছে আর কষ্ট হচ্ছে,Urgent,Seek medical care within 24–48 hours
কানের লতি কেটে গেছে আর ফুলে যাচ্ছে,Urgent,Seek medical care within 24–48 hours
হঠাৎ কানে কিছুই শুনতে পারছি না এক পাশ দিয়ে,Emergency,Immediately go to emergency department or call ambulance
কানে মারাত্মক আঘাত লেগে রক্ত বের হচ্ছে,Emergency,Immediately go to emergency department or call ambulance
কানে কেমিক্যাল ঢুকে তীব্র জ্বালা শুরু হয়েছে,Emergency,Immediately go to emergency department or call ambulance
কানে কিছু ফেটে গেছে মনে হচ্ছে আর প্রচুর রক্ত পড়ছে,Emergency,Immediately go to emergency department or call ambulance
হঠাৎ কানে শব্দ বন্ধ হয়ে গেছে আর ভারসাম্য হারাচ্ছি,Emergency,Immediately go to emergency department or call ambulance
কানে তীব্র ইনফেকশনের সাথে জ্বর খুব বেশি,Emergency,Immediately go to emergency department or call ambulance
কানের ভেতর ফুলে গিয়ে বন্ধ হয়ে গেছে,Emergency,Immediately go to emergency department or call ambulance
কানে আঘাতের পর মাথা ঘুরছে আর রক্ত পড়ছে,Emergency,Immediately go to emergency department or call ambulance
কানে ব্যথা হলে কি সবসময় ইনফেকশন হয়?,General Query,"No immediate action required, informational response sufficient"
কানে হেডফোন ব্যবহার কতক্ষণ করা উচিত?,General Query,"No immediate action required, informational response sufficient"
কানে পানি ঢুকলে কী করা উচিত?,General Query,"No immediate action required, informational response sufficient"
কানে শব্দ হওয়া কি বিপজ্জনক?,General Query,"No immediate action required, informational response sufficient"
শোনার ক্ষমতা কমে গেলে কী সমস্যা হতে পারে?,General Query,"No immediate action required, informational response sufficient"
কানের লতিতে গুটি কেন হয়?,General Query,"No immediate action required, informational response sufficient"
কানে চুলকানি কেন হয় বারবার?,General Query,"No immediate action required, informational response sufficient"
কানে চাপ লাগার কারণ কী হতে পারে?,General Query,"No immediate action required, informational response sufficient"
কানে হালকা চাপ লাগে কিন্তু কাজ করতে পারছি,Routine,Schedule a regular medical consultation
কানে মাঝে মাঝে শব্দ হয় কিন্তু সমস্যা না,Routine,Schedule a regular medical consultation
কানের লতিতে পুরনো দাগ আছে,Routine,Schedule a regular medical consultation
কানে হালকা শুষ্কতা আছে,Routine,Schedule a regular medical consultation
কানে খুব বেশি ময়লা জমে না,Routine,Schedule a regular medical consultation
কানে হালকা চুলকানি মাঝে মাঝে হয়,Routine,Schedule a regular medical consultation
কানে শব্দ কম শোনা যায় মাঝে মাঝে,Routine,Schedule a regular medical consultation
কানের লতি একটু মোটা হয়ে আছে,Routine,Schedule a regular medical consultation
নাকের হাড় বাঁকা হওয়ার লক্ষণ এবং এর দীর্ঘমেয়াদী প্রভাব সম্পর্কে বিস্তারিত চিকিৎসা তথ্য প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
নাকের পাশে ছোট ছোট কালো দাগ বা ব্ল্যাকহেডস দূর করার নিরাপদ উপায়গুলো জানতে আগ্রহী।,General Query,"No immediate action required, informational response sufficient"
"নাকের ভেতরে প্রচণ্ড ব্যথা আর ফুলে লাল হয়ে আছে, হাত দিলেই মনে হয় টনটন করছে।",Urgent,Seek medical care within 24–48 hours
নাক ডাকার কারণ এবং এটি প্রতিরোধের সাধারণ স্বাস্থ্য নির্দেশিকা অনুসন্ধান করছি।,General Query,"No immediate action required, informational response sufficient"
হঠাৎ করে নাক ও মুখ দিয়ে রক্ত ও ফেনা বের হচ্ছে এবং মানুষটা খিঁচুনি দিয়ে অজ্ঞান হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
"নাকের ওপরের চামড়া শুষ্ক হয়ে সাদা হয়ে উঠে যাচ্ছে, কোনো অস্বস্তি বা ব্যথা নেই।",Routine,Schedule a regular medical consultation
সাইনাস সমস্যার প্রাথমিক ঘরোয়া প্রতিকার এবং সর্দি কমানোর সাধারণ পদ্ধতিসমূহ জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
নাকের ভেতর ধারালো কিছু ঢুকে প্রচুর রক্তক্ষরণ হচ্ছে এবং নাকটা ফুলে নীল হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
"নাক বন্ধ থাকার কারণে রাতে মুখ দিয়ে শ্বাস নিতে হয়, যার ফলে সকালবেলা গলা শুকিয়ে থাকে।",Urgent,Seek medical care within 24–48 hours
"নাক দিয়ে সবসময় পানি ঝরে এবং হাঁচি হয়, এলার্জি প্রতিরোধের সাধারণ নিয়মাবলী প্রয়োজন।",General Query,"No immediate action required, informational response sufficient"
"নাকের পাশে একটা ছোট ফোঁড়া হয়েছে যা পেকে হলুদ হয়ে আছে, চাপ দিলে প্রচণ্ড ব্যথা লাগে।",Urgent,Seek medical care within 24–48 hours
নাকের ছিদ্রের আশেপাশে চামড়া একটু ছিলে গেছে আর জ্বালাপোড়া করছে।,Routine,Schedule a regular medical consultation
নাকের পলিপাস অপারেশনের সুবিধা-অসুবিধা এবং খরচ সংক্রান্ত সাধারণ তথ্য বিবরণী চাই।,General Query,"No immediate action required, informational response sufficient"
"হঠাৎ করে নাক মুখ ফুলে ঢোল হয়ে গেছে আর দম নিতে পারছে না, কথা বলাও অসম্ভব।",Emergency,Immediately go to emergency department or call ambulance
নাক দিয়ে সর্দি বের হওয়ার সময় মাঝেমধ্যে রক্তের ছিটে দেখা যায় কিন্তু ব্যথা নেই।,Routine,Schedule a regular medical consultation
নাকের ড্রপ একটানা কতদিন ব্যবহার করা যায় এবং এর পার্শ্বপ্রতিক্রিয়া সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
"নাকের ভেতর ছোট পোকা বা ফরেন বডি ঢুকেছে মনে হয়, খুব অস্বস্তি আর ব্যথা লাগছে।",Urgent,Seek medical care within 24–48 hours
বাচ্চার নাক দিয়ে পচা গন্ধযুক্ত পুঁজ বের হচ্ছে আর এক নাক সবসময় বন্ধ থাকে।,Urgent,Seek medical care within 24–48 hours
নাকের প্লাস্টিক সার্জারি বা রাইনোপ্লাস্টি সম্পর্কে প্রাথমিক ধারণা এবং সতর্কতা জানা প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
নাক দিয়ে অনবরত কালো বা গাঢ় রঙের রক্ত বের হচ্ছে আর রোগী ফ্যাকাশে হয়ে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
"নাকের ভেতরটা খুব শুকনো লাগে, মাঝেমধ্যে টান লেগে রক্ত বের হয় শীতকালে।",Routine,Schedule a regular medical consultation
শীতকালে নাক বন্ধ হওয়া কমানোর জন্য মেন্থল বা ভ্যাপার নেওয়ার সঠিক নিয়ম জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
"নাকের হাড় ফেটে গেছে মনে হচ্ছে এক্সিডেন্টের পর, পুরো নাক বাঁকা হয়ে ঝুলে আছে।",Emergency,Immediately go to emergency department or call ambulance
"নাকের ছিদ্রের পাশে একটা বিচির মতো হয়েছে, কোনো ব্যথা নেই কিন্তু ওটা বড় হচ্ছে।",Routine,Schedule a regular medical consultation
তীব্র মাথাব্যথার সাথে নাক বন্ধ এবং চোখের ওপর চাপ অনুভব করছি গত দুইদিন ধরে।,Urgent,Seek medical care within 24–48 hours
নাক দিয়ে দুর্গন্ধযুক্ত হলদেটে সর্দি বের হচ্ছে আর কপালে হাত দিলে প্রচণ্ড ব্যথা লাগছে।,Urgent,Seek medical care within 24–48 hours
"নাকের অগ্রভাগ বা ডগা মাঝেমধ্যে লাল হয়ে থাকে, অন্য কোনো সমস্যা নেই।",Routine,Schedule a regular medical consultation
নাজাল স্প্রে ব্যবহারের সঠিক পদ্ধতি এবং এটি ব্যবহারের সময় সাবধানতা সংক্রান্ত তথ্য চাই।,General Query,"No immediate action required, informational response sufficient"
হঠাৎ নাক মুখ দিয়ে প্রচণ্ড রক্ত বমি হচ্ছে এবং মানুষটা নিস্তেজ হয়ে পড়ছে।,Emergency,Immediately go to emergency department or call ambulance
নাকের ভেতর চুলকাতে চুলকাতে ঘা হয়ে গেছে আর এখন সেখান থেকে রস বের হচ্ছে।,Urgent,Seek medical care within 24–48 hours
বাচ্চাদের নাক পরিষ্কার করার জন্য সাধারণ নিয়ম এবং সেফটি মেজারস সম্পর্কে জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
"নাকের ওপর অনেকদিন ধরে একটা কালো আঁচিল আছে, কোনো পরিবর্তন বা ব্যথা নেই।",Routine,Schedule a regular medical consultation
"নাক দিয়ে অনবরত হাঁচি আর পানির মতো সর্দি ঝরছে, চোখের কোণাও লাল হয়ে আছে।",Urgent,Seek medical care within 24–48 hours
নাকের ছিদ্র বড় হয়ে যাওয়ার কারণ এবং এর কি কোনো স্থায়ী সমাধান আছে?,General Query,"No immediate action required, informational response sufficient"
নাকের গোড়ায় প্রচণ্ড আঘাতের পর দৃষ্টি ঝাপসা হয়ে আসছে আর কান দিয়ে ভোঁ ভোঁ শব্দ হচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
"নাকের পাশে সাদাটে ছোপ ছোপ দাগ দেখা যাচ্ছে, মাঝেমধ্যে চুলকায়।",Routine,Schedule a regular medical consultation
ইনফ্লুয়েঞ্জা বা সাধারণ সর্দি-জ্বর প্রতিরোধের উপায় ও টিকার তথ্য সম্পর্কে জানতে আগ্রহী।,General Query,"No immediate action required, informational response sufficient"
নাক দিয়ে নিঃশ্বাস নেওয়ার সময় বাঁশির মতো শব্দ হয় কিন্তু অন্য কোনো অসুবিধা নেই।,Routine,Schedule a regular medical consultation
নাকের ভেতর থেকে কালো রক্ত বের হচ্ছে আর মাথার তালু প্রচণ্ড গরম হয়ে আছে।,Emergency,Immediately go to emergency department or call ambulance
নাক দিয়ে শ্বাস নিতে গেলে হালকা বাধা লাগে কিন্তু খুব সমস্যা না,Routine,Schedule a regular medical consultation
নাকের ভেতর শুকনো লাগছে বিশেষ করে এয়ার কন্ডিশনে থাকলে,Routine,Schedule a regular medical consultation
নাকের পাশে চাপ দিলে একটু ব্যথা লাগে কিন্তু নিজে থেকে নয়,Routine,Schedule a regular medical consultation
সকালে ঘুম থেকে উঠে নাক বন্ধ থাকে কিছুক্ষণ,Routine,Schedule a regular medical consultation
নাক দিয়ে মাঝে মাঝে হাঁচি আসে ধুলা লাগলে,Routine,Schedule a regular medical consultation
নাকের ভেতর ছোট খোসার মতো জমে থাকে শীতকালে,Routine,Schedule a regular medical consultation
নাকের ডগা মাঝে মাঝে লাল হয়ে যায় ঠান্ডা লাগলে,Routine,Schedule a regular medical consultation
নাক দিয়ে শ্বাস নিতে একটু কষ্ট হয় শুয়ে থাকলে,Routine,Schedule a regular medical consultation
নাকের ভেতর চুলকানি হয় কিন্তু রক্ত বা ব্যথা নেই,Routine,Schedule a regular medical consultation
নাক দিয়ে হলুদ ঘন সর্দি বের হচ্ছে আর গন্ধও খারাপ লাগছে,Urgent,Seek medical care within 24–48 hours
নাকের ভেতর চাপ ও ব্যথা বাড়ছে দুই দিন ধরে,Urgent,Seek medical care within 24–48 hours
নাক বন্ধ আর মাথায় ভার অনুভব হচ্ছে,Urgent,Seek medical care within 24–48 hours
নাকের পাশ ফুলে গেছে আর স্পর্শ করলে ব্যথা লাগে,Urgent,Seek medical care within 24–48 hours
নাকের ভেতর থেকে হালকা রক্ত মিশ্রিত সর্দি বের হচ্ছে,Urgent,Seek medical care within 24–48 hours
নাকের এক পাশ পুরোপুরি বন্ধ হয়ে গেছে,Urgent,Seek medical care within 24–48 hours
নাকের ভেতর জ্বালা আর ব্যথা একসাথে অনুভব হচ্ছে,Urgent,Seek medical care within 24–48 hours
নাকের পাশে ছোট ফোঁড়া বড় হয়ে যাচ্ছে,Urgent,Seek medical care within 24–48 hours
নাক বন্ধ আর গলার ভেতর কফ জমছে,Urgent,Seek medical care within 24–48 hours
হঠাৎ নাক দিয়ে এক পাশ থেকে প্রচুর রক্ত পড়ছে,Emergency,Immediately go to emergency department or call ambulance
নাকে আঘাত লেগে বিকৃতি হয়ে গেছে আর শ্বাস নিতে পারছি না,Emergency,Immediately go to emergency department or call ambulance
নাক দিয়ে শ্বাস বন্ধ হয়ে গেছে হঠাৎ করে,Emergency,Immediately go to emergency department or call ambulance
নাকে কেমিক্যাল লাগার পর তীব্র জ্বালা শুরু হয়েছে,Emergency,Immediately go to emergency department or call ambulance
নাকের ভেতর থেকে রক্ত জমাট বেঁধে বের হচ্ছে,Emergency,Immediately go to emergency department or call ambulance
নাক ফুলে গিয়ে চোখের নিচ পর্যন্ত ছড়িয়ে গেছে,Emergency,Immediately go to emergency department or call ambulance
নাকে আঘাতের পর মাথা ঘুরছে আর দুর্বল লাগছে,Emergency,Immediately go to emergency department or call ambulance
নাকের ভেতর কিছু ফেটে গেছে মনে হচ্ছে আর ব্যথা তীব্র,Emergency,Immediately go to emergency department or call ambulance
নাক দিয়ে রক্ত পড়ার সাথে শ্বাসকষ্ট হচ্ছে,Emergency,Immediately go to emergency department or call ambulance
নাক বন্ধ হয়ে মুখ দিয়ে শ্বাস নিতে পারছি না,Emergency,Immediately go to emergency department or call ambulance
নাক বন্ধ হলে কোন ঘরোয়া উপায় কাজ করে?,General Query,"No immediate action required, informational response sufficient"
নাকের এলার্জি কমাতে কী করা উচিত?,General Query,"No immediate action required, informational response sufficient"
নাক ডাকা বন্ধ করার সহজ উপায় কী?,General Query,"No immediate action required, informational response sufficient"
নাক দিয়ে রক্ত পড়লে কখন চিন্তা করা উচিত?,General Query,"No immediate action required, informational response sufficient"
নাক বন্ধ হলে ব্যায়াম কি সাহায্য করে?,General Query,"No immediate action required, informational response sufficient"
নাকের ইনফেকশন প্রতিরোধের উপায় কী?,General Query,"No immediate action required, informational response sufficient"
নাক দিয়ে শ্বাস নিতে মাঝে মাঝে সমস্যা হয়,Routine,Schedule a regular medical consultation
নাকের ডগা মাঝে মাঝে সেনসিটিভ লাগে,Routine,Schedule a regular medical consultation
নাকের ভেতর হালকা চাপ লাগে কিন্তু ব্যথা না,Routine,Schedule a regular medical consultation
নাক দিয়ে হালকা সর্দি মাঝে মাঝে আসে,Routine,Schedule a regular medical consultation
দাঁত ব্রাশ করার সঠিক নিয়ম এবং মাড়ি সুস্থ রাখার সাধারণ উপায়গুলো সম্পর্কে জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
"খাবার খাওয়ার সময় হঠাৎ দাঁত ভেঙে গেছে আর প্রচণ্ড রক্ত পড়ছে, যন্ত্রণায় অস্থির লাগছে।",Emergency,Immediately go to emergency department or call ambulance
জিহ্বার ওপর সাদা আস্তরণ পড়ছে আর মুখটা কেমন জানি তেতো হয়ে থাকে সবসময়।,Routine,Schedule a regular medical consultation
"মাড়ি ফুলে লাল হয়ে আছে আর ব্রাশ করার সময় রক্ত বের হয়, কিন্তু ব্যথা নেই।",Routine,Schedule a regular medical consultation
মুখের ক্যান্সারের প্রাথমিক লক্ষণ এবং তামাকজাত পণ্যের ক্ষতিকর প্রভাব সংক্রান্ত তথ্য বিবরণী প্রয়োজন।,General Query,"No immediate action required, informational response sufficient"
"হঠাৎ করে মুখ আর জিহ্বা ফুলে ঢোল হয়ে গেছে, লোকটা শ্বাস নিতে পারছে না।",Emergency,Immediately go to emergency department or call ambulance
"জিহ্বার নিচে একটা ছোট ঘা হয়েছে অনেকদিন ধরে, কিছু খেলেই খুব জ্বালাপোড়া করে।",Urgent,Seek medical care within 24–48 hours
ঠোঁটের কোণা ফেটে গেছে আর হাসলে বা মুখ বড় করলে চামড়া ছিঁড়ে রক্ত বের হয়।,Routine,Schedule a regular medical consultation
দাঁতের স্কেলিং করার উপকারিতা এবং এর কোনো পার্শ্বপ্রতিক্রিয়া আছে কি না জানতে চাই।,General Query,"No immediate action required, informational response sufficient"
মুখের ভেতর থেকে অনবরত রক্ত চুইয়ে পড়ছে আর গলার ভেতরটা ফুলে শক্ত হয়ে গেছে।,Emergency,Immediately go to emergency department or call ambulance
"দাঁতের গোড়ায় প্রচণ্ড ব্যথা আর মুখটা একপাশে ফুলে গেছে, ব্যথার চোটে ঘুমাতে পারছি না।",Urgent,Seek medical care within 24–48 hours
"তালুতে গরম চা লেগে ছ্যাঁকা লেগেছে, এখন চামড়া উঠে গিয়ে খুব জ্বলছে।",Urgent,Seek medical care within 24–48 hours
দাঁতের ক্যাভিটি বা ক্ষয়রোগ প্রতিরোধের সাধারণ স্বাস্থ্য টিপস এবং সচেতনতা দরকার।,General Query,"No immediate action required, informational response sufficient"
"এক্সিডেন্টের পর উপরের পাটির সব দাঁত নড়ে গেছে আর চোয়ালটা আটকে আছে, নড়াতে পারছি না।",Emergency,Immediately go to emergency department or call ambulance
ঠোঁটের ওপর ছোট ছোট পানির মতো ফুসকুড়ি হয়েছে যা খুব চুলকায় আর মাঝেমধ্যে জ্বলে।,Routine,Schedule a regular medical consultation
জিহ্বার একপাশ কেটে গিয়ে গভীর ক্ষত হয়েছে আর রক্ত পড়া কোনোভাবেই থামছে না।,Emergency,Immediately go to emergency department or call ambulance
মাড়ি দিয়ে পুঁজ বের হচ্ছে আর মুখ থেকে খুব বাজে দুর্গন্ধ আসে সবসময়।,Urgent,Seek medical care within 24–48 hours
মুখের তালুতে একটা শক্ত হাড়ের মতো উঁচু পিণ্ড হয়েছে যা দিন দিন বড় হচ্ছে।,Routine,Schedule a regular medical consultation
"হঠাৎ করে দাঁত শিরশির করা শুরু হয়েছে, ঠান্ডা বা গরম কিছু মুখে দিলেই ছ্যাঁত করে ওঠে।",Routine,Schedule a regular medical consultation
বাচ্চাদের দাঁত ওঠার সময় সাধারণ সমস্যা এবং মাড়ির যত্ন নেওয়ার পদ্ধতিগুলো জানা দরকার।,General Query,"No immediate action required, informational response sufficient"
ঠোঁট কালো হয়ে যাওয়ার কারণ এবং এটি প্রতিকারের সাধারণ প্রাকৃতিক উপায়গুলো জানতে আগ্রহী।,General Query,"No immediate action required, informational response sufficient"
জিহ্বার নিচে নীলচে হয়ে ফুলে আছে আর জায়গাটা প্রচণ্ড টনটন করছে।,Urgent,Seek medical care within 24–48 hours
দাঁত তোলার পর রক্ত পড়া বন্ধ হচ্ছে না আর প্রচণ্ড জ্বর এসেছে সাথে।,Urgent,Seek medical care within 24–48 hours
হঠাৎ করে গলার ভেতরে আর জিহ্বায় প্রচণ্ড জ্বালাপোড়া শুরু হয়েছে আর মুখ নীল হয়ে যাচ্ছে।,Emergency,Immediately go to emergency department or call ambulance
