Text,Categories,Action Needed
????? ???????? ????? ??? ??? ????? ????? ????? ??? ????? ?????,General Query,"No immediate action required, informational response sufficient"
????????? ?????? ??????? ???? ??? ????? ??????? ???? ?????????,General Query,"No immediate action required, informational response sufficient"
?????????? ?? ??????????? ??? ???? ??? ??? ????? ?? ?????? ??? ????,General Query,"No immediate action required, informational response sufficient"
?????? ????? ??? ?????? ?????? ?? ??????? ?????? ??? ??????,General Query,"No immediate action required, informational response sufficient"
??????? ??????? ???? ???????? ??? ?? ?????? ???? ???????? ???? ???? ?????,General Query,"No immediate action required, informational response sufficient"
????? ????? ???? ??? ?? ????? ??????? ??? ???? ????? ?????? ???,General Query,"No immediate action required, informational response sufficient"
????????? ????? ??? ???????? ??? ????? ?????? ???? ???? ?????,General Query,"No immediate action required, informational response sufficient"
????? ?????? ?????? ???? ???? ?? ?? ????? ????? ?? ??????,General Query,"No immediate action required, informational response sufficient"
??? ???? ??? ???? ????????? ???? ??? ?? ???? ?? ??????? ??? ????,General Query,"No immediate action required, informational response sufficient"
????? ????? ?????? ???? ?????-? ?????? ????? ?? ?????? ???? ????,General Query,"No immediate action required, informational response sufficient"
????????? ????? ????? ??? ??? ?? ????? ???? ??????? ?? ???????,General Query,"No immediate action required, informational response sufficient"
????? ??????? ????????? ??? ????? ????? ??????? ?????? ????????,General Query,"No immediate action required, informational response sufficient"
?????? ??????????? ?? ????????? ?????? ????? ???????? ?? ???,General Query,"No immediate action required, informational response sufficient"
?????? ?????? ?? ???????? ??????? ??????? ?? ?? ??? ?? ??? ???????? ?????,General Query,"No immediate action required, informational response sufficient"
????????? ??????????? ??????? ???? ????? ?? ????? ??????? ?? ?????,General Query,"No immediate action required, informational response sufficient"
???????? ??????? ?? ????? ??????? ???? ?? ????? ???? ??? ????,General Query,"No immediate action required, informational response sufficient"
?????? ??? ???????? ?????? ?????? ????? ?? ?????? ??????? ????????,General Query,"No immediate action required, informational response sufficient"
????????? ?????? ?????? ????? ????? ?????? ?? ?? ????? ???? ?????,General Query,"No immediate action required, informational response sufficient"
???? ???? ?? ??? ???? ?? ???????? ?????? ???? ?????? ???????? ?????,General Query,"No immediate action required, informational response sufficient"
??????? ??????? ?? ??? ??????? ????? ????? ??? ?????? ??????? ???,General Query,"No immediate action required, informational response sufficient"
?????? ???????? ????????? ??? ????? ??? ????? ????? ???? ??????,General Query,"No immediate action required, informational response sufficient"
????????? ?????? ???? ????? ?? ??????? ??? ?????? ???? ?????? ??? ?????,General Query,"No immediate action required, informational response sufficient"
??? ?????? ???? ???? ????????? ????????? ?????? ?? ??????? ??? ????,General Query,"No immediate action required, informational response sufficient"
???? ?????? ??? ?? ?? ??? ????? ?? ?????? ???? ???? ?????,General Query,"No immediate action required, informational response sufficient"
??????? ??????? ???? ?? ??????????? ?????? ????? ??? ??? ????????,General Query,"No immediate action required, informational response sufficient"
????????? ??????????? ??????? ???? ?????????? ?? ??? ???? ???? ????,General Query,"No immediate action required, informational response sufficient"
????? ????? ???? ?????? ???? ??? ??? ???? ????? ??? ?????,General Query,"No immediate action required, informational response sufficient"
?????? ?? ???? ????? ??? ??? ????? ?? ???? ????? ??? ?????,General Query,"No immediate action required, informational response sufficient"
????????? ????? ????? ???? ???? ?????? ??? ???? ?? ???? ?????,General Query,"No immediate action required, informational response sufficient"
??????? ??????? ?? ???????? ??????? ????? ?? ???? ????????? ?????? ????,General Query,"No immediate action required, informational response sufficient"
????? ?????? ??????? ????? ??? ????? ???? ??????? ??? ?? ???????,General Query,"No immediate action required, informational response sufficient"
????????? ???? ?? ?????? ????? ??? ?????? ???? ???? ????? ?????,General Query,"No immediate action required, informational response sufficient"
????? ?????? ???? ????? ??? ????? ??? ???? ?????? ???? ????? ?? ??????? ????,Routine,Schedule a regular medical consultation
????? ?????? ???? ??? ??? ????? ???? ??? ???????? ????? ???????? ???? ??? ???,Routine,Schedule a regular medical consultation
????? ????? ???? ??? ???? ???? ???? ??? ???? ?????? ???? ???? ???? ???????? ?????,Routine,Schedule a regular medical consultation
???? ???? ???? ???? ??? ???? ??????? ???? ??? ???? ?????? ???? ???? ?? ????? ????,Routine,Schedule a regular medical consultation
?????? ??? ???? ???? ?????? ???? ??? ????? ???? ??? ???? ?????? ???? ???? ?? ???,Routine,Schedule a regular medical consultation
?????? ????? ?????? ???? ???? ???? ???? ????? ??? ??????? ???? ????? ??? ????? ???,Routine,Schedule a regular medical consultation
????? ???? ????? ???? ??? ?? ????? ??? ???? ??????? ???????? ???? ?????? ??? ???,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ??? ?????? ?? ????? ??? ???? ?????? ???? ???? ?? ????? ????,Routine,Schedule a regular medical consultation
?????? ???? ????? ????? ???? ??? ???? ???? ????? ???? ????? ???? ??? ?? ????? ????,Routine,Schedule a regular medical consultation
???? ???? ???? ????? ???? ????? ????? ???? ?????? ????? ????? ???? ?????? ?? ???,Routine,Schedule a regular medical consultation
????? ??????? ????? ???? ???? ??? ???? ??? ???? ???? ??? ?????? ????? ????? ?????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ??? ??? ???? ??? ?? ??? ???? ??????? ?? ???? ???? ????????,Routine,Schedule a regular medical consultation
???? ?????? ?? ???? ??? ?? ????? ??? ????? ????? ??? ??????? ???? ??? ?????,Routine,Schedule a regular medical consultation
???? ???? ??? ????? ???? ????? ???? ???? ???? ?????? ???????? ?? ?? ??? ??? ????,Routine,Schedule a regular medical consultation
??????? ????? ???? ???? ?? ????? ??? ???? ???? ??????? ??? ????? ?????? ???,Routine,Schedule a regular medical consultation
???? ??? ???? ???? ??? ???? ??????? ?? ???? ??? ???? ??? ?????? ???? ????? ????,Routine,Schedule a regular medical consultation
??????? ??? ???? ???? ?????? ???? ??? ?? ????? ????? ???????? ???????? ?? ???,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ??? ??? ???? ?? ?? ??????? ???? ??? ?? ?????? ???? ?????,Routine,Schedule a regular medical consultation
????? ?????? ????? ???? ???? ???? ???? ???? ??? ????? ??? ???????? ?????,Routine,Schedule a regular medical consultation
????? ???? ????? ??? ?????? ?? ??????? ??? ????? ??? ??????? ???? ??? ?????,Routine,Schedule a regular medical consultation
????? ???? ???????? ??? ??? ??? ?? ????? ???? ??????? ?? ????? ??? ?? ?????? ??????,Routine,Schedule a regular medical consultation
????? ?????? ???? ???? ???? ??? ??? ???? ?????? ???????? ???? ?????? ??? ?????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ??? ?????? ??? ?? ?? ??? ??? ????? ????? ???? ????? ???? ????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ?????? ??? ????? ???? ?? ?????? ???????? ???? ??????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ???? ???? ????? ???? ???????? ??? ??? ?????? ???? ?????? ???? ???,Routine,Schedule a regular medical consultation
????? ???? ????? ??? ???? ???? ????? ??? ???? ?? ????? ????? ??? ?? ???? ??????,Routine,Schedule a regular medical consultation
????? ?????? ???? ???? ????? ??? ??????? ?? ??????? ?????? ??? ???? ????????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ?????? ????? ???? ?????? ??? ?????? ??? ?? ??????? ???? ???,Routine,Schedule a regular medical consultation
????? ????? ???? ??? ???? ???? ??? ??? ??? ???????? ?? ?? ????? ???? ?????,Routine,Schedule a regular medical consultation
??????? ????? ???? ???? ??????? ??? ??? ???? ??? ?? ?????? ????? ???? ???? ????,Routine,Schedule a regular medical consultation
????? ?? ???? ???? ???? ??? ???? ????? ??? ??? ???? ?? ?? ???? ???? ????,Routine,Schedule a regular medical consultation
???? ???? ??? ???? ??? ???? ????? ???? ????? ???? ?????? ??????? ?? ??? ?????,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ???? ???? ???? ????? ??? ?? ?????? ???????? ?? ??? ??? ????,Routine,Schedule a regular medical consultation
????? ?????? ??????? ???? ???? ???? ???? ???? ?? ?????? ???? ????? ?? ???? ????,Routine,Schedule a regular medical consultation
?????? ????? ????? ???? ???? ?? ?????? ????? ????? ???????? ???????? ???? ??? ???,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ???? ????? ??????? ??? ??? ????? ???? ????? ?????????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ??? ??? ???? ??? ?? ??? ????? ??? ?????? ??? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ???????? ??? ?? ?? ??????? ??? ????? ???? ????,Routine,Schedule a regular medical consultation
???? ???????? ????? ???? ???? ??? ??? ?????? ???? ???? ??? ???? ?????? ???? ??? ???,Routine,Schedule a regular medical consultation
?????? ??? ?? ???? ??? ??? ???? ???? ???? ??????? ???? ????? ???? ??????,Routine,Schedule a regular medical consultation
????? ??? ???? ???? ???? ????? ??? ???? ??? ????? ???? ??? ????? ?? ??? ?????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ??? ???? ???? ????? ???? ????? ???? ?? ???? ?????,Routine,Schedule a regular medical consultation
????? ?????? ???? ???? ???? ??? ??? ???? ?????? ?????????? ???? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ?????? ??? ???? ??? ???? ??? ?? ??? ???? ???? ????,Routine,Schedule a regular medical consultation
???? ???? ????? ?????? ?? ????? ???? ???? ???? ???? ?????? ???? ?????????? ????,Routine,Schedule a regular medical consultation
????? ?????? ?????? ???? ???? ??? ?????? ???? ???? ???? ????? ??? ????? ????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ???? ????? ????? ?? ???????? ???? ??? ?????? ?????? ??? ????,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ??? ??? ??? ??????? ??? ???? ??? ?? ??? ?????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????? ??????? ???? ??? ????? ???? ????? ??????? ?????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ???? ??????? ?????? ?? ????? ???? ???? ????? ???,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ???? ????? ??? ???? ????? ?????? ?????? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ???? ??? ???????? ??? ????? ??? ?????? ?????? ???,Routine,Schedule a regular medical consultation
???? ??? ???? ???? ???? ???? ??? ??? ?? ????? ??? ????? ???? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????? ??????? ?? ???????? ???? ????? ???? ???? ???? ???,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ????? ???? ??? ???? ???? ??? ??? ?????? ?????? ????? ???? ???,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ????? ???? ??? ??? ?????? ?? ????? ???? ????????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ???? ????? ?? ???? ??? ?? ??? ??? ?? ???? ?????? ????,Routine,Schedule a regular medical consultation
???? ??????? ????? ????? ??? ???? ??????? ?? ???? ??? ???? ??? ????? ??? ???,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ????? ???? ??????? ?? ???? ???? ??????? ??????,Routine,Schedule a regular medical consultation
????? ??????? ???? ???? ???? ????? ??? ???? ??? ?? ???? ??? ???? ??? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????????? ?? ?? ?? ??? ????? ?? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ???? ????? ????????? ?????? ???????? ???? ??? ???? ??? ?????,Routine,Schedule a regular medical consultation
????? ?????? ?????? ???? ??? ???? ???? ????? ??? ??? ???? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ?????? ????? ??? ??? ??????? ?? ?? ????? ???? ??? ???,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ??? ??? ??? ???? ??????? ?? ?????? ???,Routine,Schedule a regular medical consultation
????? ??????? ???? ????? ???? ???? ???? ???? ?????? ???? ???? ?? ????? ????,Routine,Schedule a regular medical consultation
????? ?? ???? ???? ??? ?????? ???? ???? ??? ?? ???? ??? ???? ??? ??????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ????? ???? ????? ?????? ?????? ???????? ?? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
???? ?????? ???? ???? ???? ????? ??? ???? ???? ???? ????? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ??? ????? ???? ????? ????? ??? ???? ??? ?????????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????? ??? ?? ??? ????? ???? ???? ???? ???? ???,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ???? ????? ??? ???? ??? ?? ??? ?????? ??? ??? ????,Routine,Schedule a regular medical consultation
????? ?????? ?????? ???? ???? ???? ???? ??? ??? ????? ???????? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ?????? ???? ???? ???? ????? ???? ????? ???? ??? ??? ?????? ??? ????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ??? ??? ???? ?? ?? ??????? ???? ???? ????? ????,Routine,Schedule a regular medical consultation
???? ???? ???? ????? ??? ???? ??????? ?? ???? ???? ?? ?????? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ??????? ??? ???? ?? ???????? ????? ???????? ???? ??? ???,Routine,Schedule a regular medical consultation
????? ?????? ????? ???? ???? ???? ?????? ????? ???? ???? ???? ???????? ?????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ??? ????? ????? ???? ????? ???? ??? ?????? ??? ??? ???,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ??? ?????? ???? ????? ??? ??? ???????? ?? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
???? ???????? ????? ???? ???? ??? ?????? ???? ???? ???? ???? ????? ???? ?????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ??? ???? ??????? ?? ??? ??? ?? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????? ??? ????? ??? ?? ??????? ???? ???????? ???? ??? ???,Routine,Schedule a regular medical consultation
????? ?????? ???? ???? ???? ???? ??? ???? ????? ?????? ?????? ???? ???? ??? ????,Routine,Schedule a regular medical consultation
?????? ????? ???? ???? ??????? ???? ???? ????? ??? ??? ???? ????? ??? ?? ???,Routine,Schedule a regular medical consultation
????? ?????? ??????? ???? ???? ???? ???? ???? ????? ?????? ??? ????? ??? ???,Routine,Schedule a regular medical consultation
???? ???? ???? ???? ???? ????? ??? ???? ??? ?? ???? ??? ???? ??? ??? ????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ?????? ?? ??? ?? ??????? ??? ????? ??? ??????? ???? ??? ?????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ????? ???? ??????? ?? ???? ????? ??? ?? ?????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ???? ????? ??? ?? ???? ???? ???? ?? ???? ???? ???? ????,Routine,Schedule a regular medical consultation
????? ?? ???? ???? ??? ?????? ???? ????? ??? ???? ????? ???? ????? ????? ????,Routine,Schedule a regular medical consultation
?????? ?????? ???? ???? ???? ???? ???? ?????????? ??? ??? ??? ?????? ??? ???,Routine,Schedule a regular medical consultation
???? ?????? ???? ???? ???? ????? ???? ?????? ???? ???? ?? ???? ???? ??? ???,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ?????? ??? ??????? ?? ?? ?? ???? ?????? ??? ??? ????? ????,Routine,Schedule a regular medical consultation
????? ?????? ?? ???? ???? ??? ?????? ???? ??? ??? ????? ???? ???? ??? ?????,Routine,Schedule a regular medical consultation
?????? ??????? ?????? ???? ???? ??? ??? ???? ??? ???? ??? ?? ???? ??? ???? ????,Routine,Schedule a regular medical consultation
????? ??????? ???? ???? ???? ??????? ???? ??? ????? ????? ?????? ???? ?????,Routine,Schedule a regular medical consultation
????? ???? ???? ???? ???? ????? ???? ??? ????? ??? ???? ????? ??? ???? ?????,Routine,Schedule a regular medical consultation
???? ???? ??? ??? ???? ???? ??????? ?? ???? ??? ???? ??????? ??? ???? ????? ????,Routine,Schedule a regular medical consultation
????? ????? ???? ???? ??????? ????? ??? ?? ?????? ???? ??????? ???? ??? ????? ????,Routine,Schedule a regular medical consultation
???? ???? ???? ???? ?????? ??? ????? ??? ??????? ???? ???? ?? ???? ???? ??? ???? ???? ???????,Emergency,Immediately go to emergency department or call ambulance
???????? ????????? ???? ???? ????? ??? ??? ??? ?? ??? ?????? ???? ?????? ??????? ???? ????? ???,Emergency,Immediately go to emergency department or call ambulance
????? ????????? ??? ???? ??? ???? ?????? ???? ???? ???? ????? ??? ?????? ?? ???????? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
?????? ????? ???? ???????? ?? ????? ???? ??? ??? ???? ?? ?? ???? ???? ???? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
????? ?????? ??? ????? ??? ???? ??????? ?????? ?????????? ???? ???? ??????? ??? ???? ????,Emergency,Immediately go to emergency department or call ambulance
???? ???? ??????? ??? ?? ?????? ??? ??? ???? ???? ?? ??? ???? ???? ???? ?????? ???????,Emergency,Immediately go to emergency department or call ambulance
????? ???? ????? ????? ??????? ?? ???? ?????? ?????? ???? ???? ??? ???? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ?????? ???? ???? ????????? ???? ??? ???? ???? ???????? ?? ???? ???? ???? ???? ????,Emergency,Immediately go to emergency department or call ambulance
??????? ???? ??? ???? ??? ???? ???? ???? ???? ???? ??? ?????? ????????? ??? ?????? ?? ?? ??????,Emergency,Immediately go to emergency department or call ambulance
???????? ???? ???? ????? ??? ??? ?? ???? ??? ??? ???? ??? ???? ???? ???? ?????,Emergency,Immediately go to emergency department or call ambulance
????????? ????? ???? ???? ????? ????????? ??? ??? ???? ??? ?????? ?????? ????????? ??????,Emergency,Immediately go to emergency department or call ambulance
??????? ?????? ???? ??? ????? ???? ???? ???? ?????? ???? ???? ??? ???? ???? ??? ??????,Emergency,Immediately go to emergency department or call ambulance
????? ??????????? ????? ???? ???? ????? ????? ????? ???? ??? ???? ???? ??????? ???? ????? ???,Emergency,Immediately go to emergency department or call ambulance
???? ??? ???? ??? ????? ??????? ??? ??????? ???? ???? ???? ???????? ?? ??? ???? ???? ?????,Emergency,Immediately go to emergency department or call ambulance
????????? ?? ???? ??? ???? ???? ??? ???? ?? ?????????? ??????? ????? ?????? ?? ?????,Emergency,Immediately go to emergency department or call ambulance
???????? ??? ??? ????? ??? ???? ?????? ??? ???? ????????? ?????? ?????? ?? ???? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ??? ????? ??????????? ??? ???? ?? ????? ??? ???????? ????? ?? ?? ??????? ???? ???? ??????,Emergency,Immediately go to emergency department or call ambulance
??? ???????? ??? ????? ?? ????? ???? ???? ??? ??? ??? ???? ???? ?? ?? ??????? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
????? ??????? ??? ????? ??? ??? ????? ?? ?????? ?????? ????? ????? ?? ??? ???? ????? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ????? ???? ????? ?? ?????? ????????? ??? ???? ???? ???? ???? ????? ??????? ???? ????,Emergency,Immediately go to emergency department or call ambulance
???????? ???? ????? ?????? ??????? ??????? ???????? ???? ??? ?????? ??? ?? ???? ???? ????,Emergency,Immediately go to emergency department or call ambulance
??????? ?????? ??? ???? ????? ??? ????? ?????? ?? ?? ???? ?????? ??? ?????? ?????? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ????? ?? ????? ????? ????????? ????? ???? ?????? ???? ?? ???? ?? ???? ??? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
????? ???? ???? ???? ????? ?? ??? ?? ??? ???? ?????? ??? ?? ???? ??? ?????? ???? ??????,Emergency,Immediately go to emergency department or call ambulance
???? ????? ?????? ?? ???? ???? ??? ??? ????? ?????? ?????? ??? ?????? ??? ???? ??? ????,Emergency,Immediately go to emergency department or call ambulance
???????? ?????? ???? ?????? ??? ??? ??? ?? ??? ???? ???? ??? ???? ?? ??????? ???? ????? ???,Emergency,Immediately go to emergency department or call ambulance
????????????? ?????? ???? ????? ???? ???? ????? ???? ??????????? ???? ?????? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
???? ??? ??? ???? ???? ????? ??? ?????? ????? ???? ?? ?? ?????? ??? ????? ???? ????,Emergency,Immediately go to emergency department or call ambulance
???? ????????? ?? ?????? ???? ????? ??? ???? ?????? ?????????? ????? ???? ????? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
??????? ?????? ?????????? ?????? ???? ?????? ???? ?? ????? ???? ???? ?????? ?? ??????? ???????,Emergency,Immediately go to emergency department or call ambulance
??????? ??????? ???? ??? ??? ????? ???? ?? ??? ?? ??? ??? ???? ??? ???? ????? ???? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
????? ???? ??? ??????? ???? ???? ?? ???? ??????? ?? ???? ?????? ???? ?????? ???? ???? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ????? ???? ???? ???? ??? ???? ???? ??? ???????? ????? ?? ???? ??? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
??? ??? ??????? ????? ??? ??? ????? ???? ??? ???? ?????? ???????? ?????? ???? ???? ????????,Emergency,Immediately go to emergency department or call ambulance
???? ??? ????? ?????????? ???? ?????? ??? ?????? ?? ?? ?????? ????? ???? ???????? ????,Emergency,Immediately go to emergency department or call ambulance
?????? ???? ?????? ?? ??? ???? ?????? ???? ????? ??? ?????? ?? ???? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
????? ???????? ???? ???? ????? ????? ????? ?????? ?????? ??????? ???? ???? ???? ???,Emergency,Immediately go to emergency department or call ambulance
????? ??? ????? ?? ?????? ????????? ??? ???? ?????? ???? ???????? ??????? ???? ???? ??????,Emergency,Immediately go to emergency department or call ambulance
???????? ????? ??? ??????? ???? ?????? ??????? ???? ??? ?????? ??? ?? ?????? ?????,Emergency,Immediately go to emergency department or call ambulance
???? ??? ????? ?????? ????? ??? ?? ?????? ??? ???? ?? ??? ???? ??? ?? ?????? ????,Emergency,Immediately go to emergency department or call ambulance
??? ???????? ?????? ??? ??? ???? ??? ???? ?? ????? ????? ???? ????? ???? ????? ????,Emergency,Immediately go to emergency department or call ambulance
????????? ????? ????? ???? ???? ??? ???? ??? ????? ???? ??????? ?????? ?????? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
??????? ??? ?????? ?????? ???? ???? ???? ??? ??? ????? ??? ???? ?? ??????? ?????? ???,Emergency,Immediately go to emergency department or call ambulance
??????? ???? ???? ?? ????? ??? ??? ?????? ??? ???? ??? ???? ????? ????????? ???? ???????,Emergency,Immediately go to emergency department or call ambulance
???? ????? ??????? ???? ???? ?????? ??? ???? ????? ?? ??? ???? ???? ????? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
????????? ???? ????? ??? ???? ???? ??? ???? ?? ????? ??? ???? ??? ??????? ??? ?????,Emergency,Immediately go to emergency department or call ambulance
??????? ???? ??????? ???? ????????? ???? ??? ???? ?? ??? ??? ??? ???? ???? ????????,Emergency,Immediately go to emergency department or call ambulance
???? ??? ????? ?????? ????? ???????????????? ??? ???? ???? ?? ?? ??? ???? ????? ???,Emergency,Immediately go to emergency department or call ambulance
????? ??????? ??? ?? ????? ???? ???? ???? ??? ???? ???????? ?? ?????? ??? ???? ????,Emergency,Immediately go to emergency department or call ambulance
??????? ?????? ???? ???? ????? ?? ?????? ????????? ???? ???? ?? ?? ????????? ??????,Emergency,Immediately go to emergency department or call ambulance
??? ????? ?????? ?? ??? ???? ????? ??????? ????? ?? ?? ???? ????? ??? ???? ????,Urgent,Seek medical care within 24–48 hours
????? ???? ???? ????? ???? ?? ???? ??? ????? ???? ????? ??????? ????? ???????? ??????,Urgent,Seek medical care within 24–48 hours
?? ???? ???? ?????? ??? ???? ????? ???? ?? ?????? ?? ???????? ?????? ?? ???????,Urgent,Seek medical care within 24–48 hours
?? ??? ??? ??? ?????? ????????? ?????????? ?? ?????????? ???? ????? ???? ???? ???????,Urgent,Seek medical care within 24–48 hours
??????? ??? ?????? ?????? ???? ???? ???? ??? ??? ?? ???? ???? ???? ?? ?????? ??? ????,Urgent,Seek medical care within 24–48 hours
???? ????? ???? ???? ???? ???? ?????? ?? ???? ???? ????? ????? ????? ???????? ??????,Urgent,Seek medical care within 24–48 hours
????? ????? ????????? ?? ???? ??? ???? ??? ???????? ????? ???? ???? ??? ?? ??????,Urgent,Seek medical care within 24–48 hours
????? ???? ??? ????? ??? ??? ???? ?? ????? ???? ???? ???? ??? ??? ??? ???? ???????,Urgent,Seek medical care within 24–48 hours
????? ????? ???? ????? ????? ?? ?????????? ?????? ???? ???? ???? ???? ???? ???? ????? ???,Urgent,Seek medical care within 24–48 hours
??????? ? ??? ??? ???? ??? ????? ??????? ?? ??? ?????? ????? ?? ?????? ?????? ??? ???????,Urgent,Seek medical care within 24–48 hours
?????? ????? ???? ?????????? ???? ??? ????? ?? ??????? ???? ????? ??? ??? ????? ?????,Urgent,Seek medical care within 24–48 hours
??????? ???? ???/??? ??? ???? ?? ????? ?? ???? ??? ????? ???? ???? ???? ???? ??????,Urgent,Seek medical care within 24–48 hours
????? ???? ???? ??? ????? ?????? ??? ??????? ????? ??? ??? ???? ??? ????? ?????? ????,Urgent,Seek medical care within 24–48 hours
???? ??? ????? ?????? ??? ??? ????? ???? ????? ?????????? ?? ???? ??????? ??? ????? ??????,Urgent,Seek medical care within 24–48 hours
??????? ????? ????? ???? ??????? ???? ???? ???? ????????? ?? ?? ?????? ?????? ?????? ???????,Urgent,Seek medical care within 24–48 hours
?????? ???? ????? ??? ??? ??? ?????? ?? ?? ????? ???? ????? ???? ?? ???? ??? ??????,Urgent,Seek medical care within 24–48 hours
???????? ?? ?? ????? ??? ?? ?????? ????? ?? ?? ????? ????? ???? ??? ????? ???????? ??????,Urgent,Seek medical care within 24–48 hours
????? ???? ?????? ?? ?????? ???? ???? ???? ???? ??? ????? ???? ??? ?????? ?????,Urgent,Seek medical care within 24–48 hours
?? ????? ???? ????? ??? ???? ???? ??? ????? ?? ???? ????? ?????? ??? ????? ????? ????,Urgent,Seek medical care within 24–48 hours
??????? ???? ????? ??????? ?????? ????? ?? ?? ???? ?????? ???? ???????? ?? ??? ?????,Urgent,Seek medical care within 24–48 hours
????? ???? ???????? ??? ???? ??? ??? ??? ???? ?? ????? ???? ???? ?????? ????? ???,Urgent,Seek medical care within 24–48 hours
???? ????? ?????? ???? ?????? ?????? ???? ??????? ???? ???? ?????? ???? ????? ???????,Urgent,Seek medical care within 24–48 hours
???? ??? ???? ????? ???? ???? ???? ??????? ??? ??? ???? ?? ?? ???? ???? ???? ??????,Urgent,Seek medical care within 24–48 hours
??????? ???? ?? ???? ?? ?? ???? ?? ??? ???? ?? ???? ????? ???? ???? ????? ?? ???????,Urgent,Seek medical care within 24–48 hours
???????? ???? ?? ??? ??? ??? ???????? ??? ??????? ???? ?? ??? ????? ??? ????????? ????,Urgent,Seek medical care within 24–48 hours
?????? ?????? ?????? ??? ????? ??? ??? ???? ?? ??? ??????? ???? ??? ????? ???????,Urgent,Seek medical care within 24–48 hours
?? ?? ?????? ??? ?????? ???? ?????? ???? ????? ??? ????? ?? ???? ?? ????? ??????,Urgent,Seek medical care within 24–48 hours
????? ??????? ??? ????? ??? ???? ?? ??? ??? ???? ?? ?????? ???? ?? ????? ?????? ??????,Urgent,Seek medical care within 24–48 hours
??????? ?????? ???????? ???? ???? ????????? ??? ?????? ?? ??? ?? ?????????? ????? ?????,Urgent,Seek medical care within 24–48 hours
??????? ????????? ??? ??? ???? ?? ?? ???????? ???? ??? ??? ?????????? ??? ????? ???? ????,Urgent,Seek medical care within 24–48 hours
